id,status,title,artist,style,sources,spotifyUrls,youtubeUrls,cifraClubUrls,ultimateGuitarUrls,tags,notes
"vitor-kley-a-bolha","quero aprender","A Bolha","Vitor Kley","Pop","Spotify","https://open.spotify.com/track/4qteAYpihYlZXGCN9Q5ZKy","","","","backlog","Spotify-only entry from playlist export."
"america-george-martin-a-horse-with-no-name","quero aprender","A Horse with No Name","America, George Martin","Unclassified","Spotify","https://open.spotify.com/track/54eZmuggBFJbV7k248bTTt","","","","backlog","Spotify-only entry from playlist export."
"ivete-sangalo-a-lua-q-eu-t-dei","quero aprender","A Lua Q Eu T Dei","Ivete Sangalo","Axé","Spotify","https://open.spotify.com/track/1eGSrRkBe0L6ttFrPGNxHX","","","","backlog","Spotify-only entry from playlist export."
"tie-a-noite","toco","A Noite","Tiê","MPB","Spotify | Cifra Club","https://open.spotify.com/track/1GMXM1ghhPvS76g9zjQRaU","","https://www.cifraclub.com.br/tie/a-noite/","","repertório",""
"bryan-behr-a-vida-e-boa-com-voce-voz-e-violao","quero aprender","A Vida É Boa Com Você - Voz E Violão","Bryan Behr","Pop","Spotify","https://open.spotify.com/track/7w36CnYumoRl1ryZOWsJnk","","","","backlog","Spotify-only entry from playlist export."
"skank-acima-do-sol","toco","Acima do Sol","Skank","Pop Rock","Cifra Club","","","https://www.cifraclub.com.br/skank/acima-do-sol/","","repertório",""
"alceu-valenca-ai-que-saudade-doce","toco","Ai Que Saudade D'ocê","Alceu Valença","MPB","Cifra Club","","","https://www.cifraclub.com.br/alceu-valenca/ai-que-saudade-doce/","","repertório",""
"vitor-kley-ainda-bem-que-chegou","quero aprender","Ainda Bem Que Chegou","Vitor Kley","Pop","Spotify","https://open.spotify.com/track/14p2PhJn38Af8Ov7aQeP1o","","","","backlog","Spotify-only entry from playlist export."
"musicas-infantis-alecrim","toco","Alecrim","Músicas Infantis","Children","Cifra Club","","","https://www.cifraclub.com.br/musicas-infantis/alecrim/","","repertório",""
"pearl-jam-alive","toco","Alive","Pearl Jam","Grunge","Ultimate Guitar","","","","https://tabs.ultimate-guitar.com/tab/pearl-jam/alive-official-460","repertório",""
"lady-gaga-always-remember-us-this-way","toco","Always Remember Us This Way","Lady Gaga","Pop","Cifra Club | Ultimate Guitar","","","https://www.cifraclub.com.br/lady-gaga/always-remember-us-this-way/","https://tabs.ultimate-guitar.com/tab/lady-gaga/always-remember-us-this-way-chords-2488831","repertório",""
"vitor-kley-anjo-ou-mulher","quero aprender","Anjo Ou Mulher","Vitor Kley","Pop","Spotify","https://open.spotify.com/track/3N1QUO1P5Vtil4aubCLcWR","","","","backlog","Spotify-only entry from playlist export."
"alceu-valenca-anunciacao","toco","Anunciação","Alceu Valença","MPB","Cifra Club","","","https://www.cifraclub.com.br/alceu-valenca/anunciacao/","","repertório",""
"joao-gilberto-caetano-veloso-gilberto-gil-aquarela-do-brasil","quero aprender","Aquarela do Brasil","João Gilberto, Caetano Veloso, Gilberto Gil","MPB","Spotify","https://open.spotify.com/track/4JA89bJXOUl8OaGDkrhaoi","","","","backlog","Spotify-only entry from playlist export."
"engenheiros-do-hawaii-ate-o-fim","toco","Até o Fim","Engenheiros do Hawaii","Rock","Spotify | Cifra Club","https://open.spotify.com/track/1fa1CGNcZTB1HYh4ut8nb3","","https://www.cifraclub.com.br/engenheiros-do-hawaii/ate-o-fim/","","repertório",""
"tim-maia-azul-da-cor-do-mar","toco","Azul da Cor do Mar","Tim Maia","MPB","Cifra Club","","","https://www.cifraclub.com.br/tim-maia/azul-da-cor-do-mar/","","repertório",""
"castelo-ra-tim-bum-banho-e-bom","quero aprender","Banho É Bom","Castelo Rá-Tim-Bum","Unclassified","YouTube","","https://www.youtube.com/watch?v=lfQPYBocY5U&list=PLf7ayjqcbk-2HApJ5o8lhXI5jvKSCqsqY&index=28","","","aula | prática","YouTube-only inferred entry. | YouTube-only inferred from lesson title"
"duncan-sheik-barely-breathing","toco","Barely Breathing","Duncan Sheik","Pop","Cifra Club","","","https://www.cifraclub.com.br/duncan-sheik/barely-breathing/","","repertório",""
"timbalada-beija-flor","quero aprender","Beija-Flor","Timbalada","Axé","Spotify","https://open.spotify.com/track/2qzvVh6WD7pP0DUkSyANNf","","","","backlog","Spotify-only entry from playlist export."
"foo-fighters-best-of-you","toco","Best Of You","Foo Fighters","Rock","Ultimate Guitar","","","","https://tabs.ultimate-guitar.com/tab/foo-fighters/best-of-you-official-1486","repertório",""
"duda-beat-bixinho","toco","Bixinho","DUDA BEAT","Pop","Cifra Club","","","https://www.cifraclub.com.br/duda-beat/bixinho/","","repertório",""
"pearl-jam-black","toco","Black","Pearl Jam","Grunge","Ultimate Guitar","","","","https://tabs.ultimate-guitar.com/tab/pearl-jam/black-official-459","repertório",""
"ed-sheeran-bloodstream","quero aprender","Bloodstream","Ed Sheeran","Unclassified","YouTube","","https://www.youtube.com/watch?v=bwqXNqMAoIQ&list=PLf7ayjqcbk-2HApJ5o8lhXI5jvKSCqsqY&index=4","","","aula | prática","YouTube-only inferred entry. | YouTube-only inferred from lesson title"
"the-paper-kites-bloom","quero aprender","Bloom","The Paper Kites","Unclassified","YouTube","","https://www.youtube.com/watch?v=5KkMehl9chg&list=PLf7ayjqcbk-2HApJ5o8lhXI5jvKSCqsqY&index=9","","","aula | prática","YouTube-only inferred entry. | YouTube-only inferred from lesson title"
